Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Marque,Modele,Price_EUR
Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift VDI,5742
Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47,1198.0,73.9,5,Volkswagen,Polo Petrol Highline 1.2L,4180
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197.0,78.9,5,Toyota,Etios Liva 1.2 VX Dual Tone,7996
Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197.0,81.8,5,Maruti,Swift VXI,5610
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143.0,203.0,5,Mercedes-Benz,E-Class 2009-2013 E250 CDI Elegance,31900
Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9,998.0,67.1,5,Maruti,Wagon R VXI,3190
Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798.0,157.8,5,Skoda,Laura 1.8 TSI Ambiente,6050
Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5,Volkswagen,Polo GT TSI,7975
Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582.0,126.32,5,Hyundai,Verna 1.6 SX,7678
Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248.0,74.0,5,Tata,Bolt Quadrajet XE,5775
Hyundai EON D Lite Plus,Kolkata,2013,36000,Petrol,Manual,First,21.1,814.0,55.2,5,Hyundai,EON D Lite Plus,2145
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968.0,174.33,5,Audi,A4 2.0 TDI 177 Bhp Premium Plus,26950
Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,62162,Diesel,Manual,First,12.99,2494.0,100.0,7,Toyota,Innova 2.5 GX (Diesel) 7 Seater,9141
Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2987.0,254.8,5,Mercedes-Benz,M-Class ML 350 CDI,39600
Hyundai Xcent 1.1 CRDi S,Pune,2015,58000,Diesel,Manual,First,24.4,1120.0,71.0,5,Hyundai,Xcent 1.1 CRDi S,6050
Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354.0,177.6,5,Honda,Accord 2.4 AT,6479
Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,First,20.34,1498.0,103.2,5,Volkswagen,Vento 1.5 TDI Highline,8745
Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,17.0,1197.0,80.0,5,Hyundai,i20 Sportz Petrol,3025
Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582.0,126.24,5,Hyundai,Elantra CRDi SX,6875
Ford Figo Diesel Titanium,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1399.0,68.05,5,Ford,Figo Diesel Titanium,5445
Hyundai i20 1.2 Magna Executive,Kochi,2019,27339,Petrol,Manual,First,18.6,1197.0,81.83,5,Hyundai,i20 1.2 Magna Executive,6896
Hyundai Verna 1.6 CRDi SX,Kolkata,2017,25000,Diesel,Manual,First,23.9,1582.0,126.2,5,Hyundai,Verna 1.6 CRDi SX,9515
Hyundai Grand i10 Asta,Kolkata,2014,37000,Petrol,Manual,First,18.9,1197.0,82.0,5,Hyundai,Grand i10 Asta,3850
Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,First,14.16,1968.0,174.3,5,Audi,Q5 2.0 TDI,38500
Maruti Swift Dzire ZXi,Kolkata,2015,27000,Petrol,Manual,First,17.5,1298.0,85.8,5,Maruti,Swift Dzire ZXi,4895
Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,18.5,1197.0,80.0,5,Hyundai,i20 Magna,2915
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,10500,Diesel,Manual,First,25.32,1198.0,77.0,5,Mahindra,KUV 100 mFALCON D75 K4 Plus 5str,5170
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5,Hyundai,Elantra 1.6 SX Option AT,9790
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956.0,170.0,5,Jeep,Compass 2.0 Limited Option Black,19195
Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248.0,88.5,5,Maruti,Vitara Brezza VDi Option,10538
Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28,1798.0,138.03,5,Toyota,Corolla Altis 1.8 GL,6842
Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179.0,140.0,7,Mahindra,XUV500 W8 2WD,8580
BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995.0,190.0,5,BMW,X1 xDrive 20d xLine,30525
Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5,Hyundai,i20 Magna 1.4 CRDi,7700
Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5,Chevrolet,Cruze LTZ,7150
Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197.0,80.0,5,Hyundai,i20 1.2 Magna,2970
Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5,Honda,Brio S MT,2750
Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461.0,84.8,7,Nissan,Evalia 2013 XL,4290
Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,First,16.47,1198.0,73.9,5,Volkswagen,Polo Petrol Trendline 1.2L,4345
Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5,Hyundai,i10 Sportz 1.2,2310
Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4,Chevrolet,Cruze LTZ AT,3850
Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5,Hyundai,i10 Era,2200
Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1248.0,88.76,7,Maruti,Ertiga VDI,5885
Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,25.8,1498.0,98.6,5,Honda,Amaze S i-Dtech,4180
Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595.0,122.0,5,Mercedes-Benz,A Class A180 Sport,18975
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,18.9,1197.0,81.86,5,Hyundai,Grand i10 1.2 Kappa Magna,6083
Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5,Hyundai,i10 Sportz 1.2,2145
Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1998.0,112.0,5,Mini,Cooper Countryman D High,21351
Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368.0,112.4,5,Fiat,Linea T-Jet Active,7238
Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5,Chevrolet,Aveo 1.4 LT,2310
Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5,Hyundai,i10 Era 1.1,2200
Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,First,24.4,1120.0,71.0,5,Hyundai,Xcent 1.1 CRDi Base,4070
Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998.0,67.04,5,Maruti,Celerio VXI AT,4180
Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Sportz,3575
Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461.0,83.8,5,Renault,Duster 85PS Diesel RxL,6083
BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5,BMW,3 Series 320d,11990
Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,18.0,995.0,62.0,5,Chevrolet,Spark 1.0 LS,1760
Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497.0,117.3,5,Honda,City i VTEC VX Option,12375
Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7,Toyota,Fortuner 4x2 4 Speed AT,15840
Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,17.0,1497.0,118.0,5,Honda,City 1.5 S MT,3960
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995.0,190.0,5,BMW,5 Series 2013-2017 520d Luxury Line,44550
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968.0,174.3,5,Audi,Q5 30 TDI quattro Premium Plus,42845
Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1248.0,73.94,5,Maruti,Ritz LDi,3960
Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5,Volkswagen,Vento 1.5 TDI Highline AT,7832
Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,First,26.0,1498.0,98.6,5,Honda,City i DTEC SV,8272
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5,Audi,A4 New 2.0 TDI Multitronic,11385
Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598.0,103.52,5,Skoda,Rapid 1.6 MPI Elegance,7700
Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,11.5,2982.0,171.0,7,Toyota,Fortuner 3.0 Diesel,11935
Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991.0,123.7,5,Chevrolet,Optra Magnum 2.0 LT BS3,2585
Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196.0,73.0,7,Maruti,Eeco 7 Seater Standard,3190
Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1373.0,91.1,5,Maruti,Ciaz ZXi,8415
Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5,Maruti,Ciaz VDi Plus SHVS,7040
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,12.99,2494.0,100.6,7,Toyota,Innova 2.5 LE 2014 Diesel 7 Seater,11110
Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197.0,85.8,5,Maruti,Swift Dzire VXI,4675
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755.0,171.5,7,Toyota,Innova Crysta 2.8 GX AT,21615
Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,25.0,1396.0,69.0,5,Tata,Indica V2 eLX,4840
Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197.0,82.85,5,Hyundai,i20 Magna,3575
Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,First,17.8,1399.0,68.0,5,Ford,Fiesta 1.4 Duratorq ZXI,3080
Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,First,18.2,1248.0,73.74,8,Chevrolet,Enjoy 1.3 TCDi LS 8,4730
Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,17.8,1399.0,68.0,5,Ford,Fiesta 1.4 Duratorq EXI,1705
Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,10.8,2354.0,152.0,5,Honda,CR-V 2.4 MT,5170
Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,First,18.7,1199.0,88.7,5,Honda,Jazz 1.2 VX i VTEC,7777
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,18.9,1197.0,81.86,5,Hyundai,Grand i10 1.2 Kappa Sportz,6325
Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,18.5,1197.0,85.8,5,Maruti,Ritz VXi,3575
Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1498.0,108.495,5,Volkswagen,Ameo 1.5 TDI Highline AT,9779
Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,First,17.4,1497.0,117.3,5,Honda,City i VTEC SV,6490
Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,First,18.7,1199.0,88.7,5,Honda,Jazz 1.2 S i VTEC,5445
Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,17.8,1248.0,75.0,5,Maruti,Swift Ldi BSIV,4125
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5,Hyundai,Creta 1.6 CRDi AT SX Plus,12067
Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,Second,14.4,2967.0,241.4,5,Audi,A7 2011-2015 3.0 TDI Quattro,27434
Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,First,21.1,814.0,55.2,5,Hyundai,EON D Lite Plus,2167
Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1399.0,68.0,5,Ford,Figo Diesel EXI,1540
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198.0,73.75,5,Volkswagen,Ameo 1.2 MPI Highline,7996
Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,21.64,1461.0,84.8,5,Renault,Scala Diesel RxL,4400
Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,First,18.7,1199.0,88.7,5,Honda,Jazz 1.2 V i VTEC,5225
Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,17.0,1197.0,80.0,5,Hyundai,i20 1.2 Sportz,5610
Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2967.0,241.4,5,Audi,A4 3.0 TDI Quattro Premium,17721
Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,11.18,2696.0,184.0,7,Mahindra,Ssangyong Rexton RX7,11605
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755.0,174.5,7,Toyota,Fortuner 2.8 2WD AT,33000
Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896.0,66.0,5,Skoda,Octavia Classic 1.9 TDI MT,1760
Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2148.0,170.0,5,Mercedes-Benz,New C-Class 250 CDI Classic,20339
Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,20.73,1373.0,91.1,5,Maruti,Ciaz 1.4 Zeta,10956
Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1248.0,74.0,5,Maruti,Swift ZDi,5225
Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2446.0,75.0,10,Toyota,Qualis FS B3,4015
BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,Second,16.73,2495.0,218.0,5,BMW,5 Series 2007-2010 525d Sedan,17050
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,First,10.5,2835.0,116.9,6,Mitsubishi,Pajero 2.8 SFX BSIII Dual Tone,13002
Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,13.4,1794.0,125.0,5,Toyota,Corolla H2,2255
Maruti Wagon R LXI CNG,Ahmedabad,2016,77000,CNG,Manual,First,19.000000000000004,998.0,58.16,5,Maruti,Wagon R LXI CNG,3630
Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,First,17.68,1968.0,174.33,5,Audi,A6 2011-2015 2.0 TDI,22132
Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,2017,46000,CNG,Manual,First,17.857142857142858,1197.0,81.86,5,Hyundai,Xcent 1.2 Kappa S Option CNG,5445
Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5,Honda,Jazz 1.5 S i DTEC,8228
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5,Mercedes-Benz,E-Class 200 Kompressor Elegance,6050
Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,Second,13.0,1493.0,100.0,0,Honda,City 1.5 EXI,1870
Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5,Audi,A4 2.0 TDI,14509
Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,19.1,1197.0,85.8,5,Maruti,Swift Dzire VXI,4235
Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248.0,73.75,5,Maruti,Dzire VDI,6325
Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,15.1,2179.0,140.0,7,Mahindra,XUV500 W8 4WD,9900
Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,18.6,1199.0,79.4,5,Chevrolet,Beat LT,2431
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5,Ford,EcoSport 1.5 Diesel Titanium Plus,8899
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993.0,258.0,5,BMW,5 Series 2013-2017 530d M Sport,53493
Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1968.0,174.3,5,Audi,Q5 30 TDI quattro Premium Plus,43417
BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995.0,190.0,5,BMW,X1 sDrive 20d xLine,24464
Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197.0,80.0,5,Hyundai,i10 Magna AT,2860
Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5,Hyundai,Creta 1.6 CRDi AT SX Plus,13200
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968.0,174.33,5,Audi,A4 2.0 TDI 177 Bhp Premium Plus,19800
Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Magna,2695
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5,Ford,EcoSport 1.5 Diesel Titanium,9889
Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598.0,103.6,5,Volkswagen,Vento Diesel Highline,3465
Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248.0,73.75,5,Maruti,Dzire ZDI Plus,9020
Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997.0,120.0,7,Mahindra,Scorpio 1.99 S10,12650
Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396.0,88.73,5,Hyundai,i20 Asta 1.4 CRDi,8030
Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197.0,78.9,5,Hyundai,i10 Magna,3465
Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179.0,120.0,7,Mahindra,Scorpio S6 7 Seater,9350
Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199.0,75.0,5,Skoda,Fabia 1.2L Diesel Classic,3300
BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,15.3,2993.0,258.0,5,BMW,X5 xDrive 30d,23100
Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498.0,98.6,5,Honda,Jazz 1.5 S i DTEC,8525
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,First,10.0,2148.0,170.0,5,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde,25300
Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,First,16.0,2179.0,140.0,7,Mahindra,XUV500 AT W10 FWD,15125
Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,First,18.0,1497.0,117.3,5,Honda,City i VTEC CVT SV,9118
Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift VDI,6369
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,14.84,2143.0,170.0,5,Mercedes-Benz,New C-Class 220 CDI AT,33550
Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,First,17.0,1497.0,118.0,5,Honda,City 1.5 S MT,4180
Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,15.3,2956.0,83.8,7,Tata,Sumo EX,4895
Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,18.5,1197.0,82.85,5,Hyundai,i20 Magna,3630
Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,20.4,1248.0,91.2,5,Fiat,Linea 1.3 Dynamic,1925
Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,Second,12.9,1799.0,130.0,5,Honda,Civic 2006-2010 1.8 V AT,6050
Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,First,19.67,1582.0,126.2,5,Hyundai,Creta 1.6 SX Plus Diesel,14685
Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,Second,20.38,1968.0,143.0,5,Audi,A3 35 TDI Technology,24750
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591.0,121.3,5,Hyundai,Verna VTVT 1.6 SX Option,5775
Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396.0,90.0,5,Hyundai,i20 1.4 CRDi Magna,4125
Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,First,24.2,1498.0,98.6,7,Honda,Mobilio S i DTEC,6952
Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582.0,126.32,5,Hyundai,Verna 1.6 SX CRDI (O) AT,8525
Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,Second,15.3,1596.0,101.0,5,Ford,Fiesta 1.6 ZXI Duratec,1507
Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,First,20.36,1197.0,78.9,5,Hyundai,i10 Sportz 1.2,2310
Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248.0,88.5,5,Maruti,Vitara Brezza ZDi,10230
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494.0,100.6,7,Toyota,Innova 2.5 VX (Diesel) 7 Seater,13200
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,17.9,2143.0,136.0,5,Mercedes-Benz,GLA Class 200 d Sport,25850
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,Second,14.84,2143.0,170.0,5,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,13750
Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9,1248.0,74.0,5,Maruti,Swift LDI,5214
Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,18.9,1197.0,82.0,5,Hyundai,Grand i10 Sportz,5973
Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,12.55,2982.0,168.5,7,Toyota,Fortuner 4x4 AT,34782
Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,First,12.4,1998.0,132.0,8,Toyota,Innova 2.0 GX 8 STR,6930
Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,First,22.77,1498.0,98.59,5,Ford,EcoSport 1.5 TDCi Titanium,9295
Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,18.16,1196.0,86.8,5,Ford,Figo 1.2P Titanium MT,5500
Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1,1197.0,85.8,5,Maruti,Swift Dzire VXI,5170
Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,Second,18.9,1061.0,67.0,5,Maruti,Wagon R LXI Minor,1661
Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,First,19.01,1461.0,108.45,5,Renault,Duster 110PS Diesel RxZ,6699
Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,20.73,1373.0,91.1,5,Maruti,Ciaz VXi Plus,6545
Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7,1582.0,126.24,5,Hyundai,Elantra CRDi SX,9900
Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,21.66,1498.0,103.52,5,Skoda,Rapid 1.5 TDI AT Elegance,4675
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,First,14.84,2143.0,170.0,5,Mercedes-Benz,New C-Class C 220 CDI Elegance AT,25850
Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,11.7,2354.0,177.6,5,Honda,Accord 2.4 A/T,6985
Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1,998.0,67.04,5,Maruti,Celerio VXI,3740
BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,22.69,1995.0,190.0,5,BMW,3 Series 320d Sport,23760
Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,First,23.4,1248.0,74.0,5,Maruti,Swift Dzire Tour LDI,6050
Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,12.39,2179.0,147.51,5,Land,Rover Freelander 2 SE,21175
